x_S,x_E,x_I,x_R,x_rzero,x_gamma,x_sigma,x_c,dS
10960779.8773875,2290.4892396206,6058.09461243862,31711.538760402,1.64583333333333,0.036,0.142,0,-551.905863756645
9667061.93195376,174763.857877247,632732.965857535,526281.24431147,3.56,0.029,0.277,0,-109968.071184198
10997006.6970026,27.0957063298323,428.570544336041,3377.63674673474,0.53,0.039,0.341,0,-12.614624415988
10991262.8667604,248.825059382516,2151.05242741071,7177.25575285051,1.52083333333333,0.016,0.197,0,-181.585789898618
10759540.251272,4245.98125592429,11333.3023885413,225720.465083481,1.39583333333333,0.069,0.229,0,-859.578220630987
10999627.9147526,125.632018464419,494.757460951206,591.695768014854,2.76,0.044,0.423,0,-75.8544520271498
10833794.617327,5539.0735775931,13806.0623065404,147700.246788778,1.60416666666667,0.0555555555555556,0.192307692307692,0,-1211.71800644747
10969252.3492053,3746.44410058521,16319.915447453,11521.2912466976,2.42,0.029,0.277,0,-2187.82179604845
10988807.2783107,1656.73964689281,6332.09678643986,4043.88525600023,2.8625,0.029,0.277,0,-1005.87784641898
10962177.7009133,2155.96361851796,5636.62894444481,30869.706523733,1.6875,0.036,0.142,0,-526.57678973079
10999293.9791405,179.870634885552,823.546144830322,542.604079796754,2.76,0.016,0.197,0,-126.259328987399
10998906.2428525,92.9990169155737,777.118308519448,1063.63982211183,0.98,0.039,0.341,0,-42.3023372493439
10980943.9845714,672.282769901208,4651.57620152328,14572.15645718,0.5,0.036,0.142,0,-128.976761241497
10870791.8809262,2231.50333593911,7676.59479567242,120140.020942181,1.0625,0.0555555555555556,0.192307692307692,0,-447.77555825827
10982307.0342107,149.103458094878,3351.32475738296,15032.5375738573,0.5,0.016,0.197,0,-92.935522946256
10920989.3921975,1296.00076856075,8326.93325991865,70227.6737740464,0.5,0.036,0.142,0,-229.624762495682
1447540.39040575,11918.7626125541,43861.3606698003,9497519.48631196,2.8,0.072,0.134,0,-897.785256062928
10997877.7750267,67.1551052675087,605.447228557156,2289.62263948999,0.988,0.039,0.341,0,-33.2233771010691
11000161.8994702,120.89756339957,372.033746068504,185.169220368455,1.988,0.039,0.341,0,-41.0865276367481
10996373.5690336,308.908451703986,2622.38213103907,1535.14038358382,2.376,0.025,0.478,0,-346.013899764352
