x_S,x_E,x_I,x_R,x_rzero,x_gamma,x_sigma,x_c,dR
10785468.7774137,2574.70911790509,8565.39401001161,204231.11945819,1.05208333333333,0.069,0.229,0,475.855222778423
10991360.1383282,2458.05881760677,3312.60354145443,3709.19931274175,2.404,0.083,0.204,0,184.033530080801
10835648.737956,6518.05356284401,36456.2166168767,122216.991864216,0.5,0.069,0.229,0,2025.34536760426
10960779.8773875,2290.4892396206,6058.09461243862,31711.538760402,1.64583333333333,0.036,0.142,0,336.560811802145
10980065.269689,2678.21263837451,10871.8964144502,7224.62125819724,2.64,0.029,0.277,0,603.994245247233
10882965.4470502,2027.56189082794,9372.03620114571,106474.954857798,0.75,0.0555555555555556,0.192307692307692,0,520.668677841428
10984058.9250276,1821.0324641185,6323.40132729522,8636.64118107655,0.833333333333333,0.036,0.142,0,351.300073738623
9340473.52433912,225431.754502126,804969.906622185,629964.814536591,3.69333333333333,0.029,0.277,0,44720.5503678992
10972077.9626945,977.642153936579,3106.14913793223,24678.2460136687,1.375,0.036,0.142,0,172.563840996235
10794673.8937844,2408.73893475327,9224.24276947048,194533.124511269,0.885416666666667,0.069,0.229,0,512.457931637249
10987494.5276799,3371.47370719269,4630.01215690303,5343.98645599916,2.334,0.083,0.204,0,257.222897605724
10994358.2212687,96.8904292168281,2290.28540427248,4094.60289786934,0.5,0.016,0.197,0,127.238078015138
10848185.0849313,10948.7057001175,44929.435087914,96776.7742805948,0.5,0.069,0.229,0,2496.07972710634
10954163.76887,2769.74400054458,7918.83693733496,35987.650192116,1.46875,0.036,0.142,0,439.935385407498
10924250.9950885,1961.56372255319,10052.0983699726,64575.3428190198,0.666666666666667,0.036,0.142,0,558.449909442921
9412267.1792708,214584.937728065,766809.281792718,607178.601208437,3.7,0.029,0.277,0,42600.515655151
10146218.9310576,10837.2520190456,54988.644830637,788795.172092558,0.59375,0.069,0.229,0,3054.92471281317
10983006.2491534,230.43102155978,3773.37015746147,13829.9496675922,0.6875,0.016,0.197,0,209.631675414526
10969354.0267663,439.954750747867,8056.60094664825,22989.4175362756,0.5,0.044,0.423,0,447.588941480459
10973327.1462645,317.391795466741,4502.36413957331,22693.0978004295,1.39583333333333,0.025,0.478,0,250.131341087406
10869427.2531443,2291.76463885085,7700.00642155289,121420.975795205,1.09375,0.0555555555555556,0.192307692307692,0,427.778134530716
10985464.6117271,2103.84934262115,5968.05916947039,7303.47976094456,1.25714285714286,0.036,0.142,0,331.558842748355
10926511.5905535,206.36793299391,7741.29715556033,66380.7443578064,0.5,0.025,0.478,0,430.072064197796
10157723.0414968,12924.6569258762,61494.6802909112,768697.621286291,0.645833333333333,0.069,0.229,0,3416.37112727284
4547087.10122789,306351.439341846,496333.019367039,5651068.44006326,2.93,0.072,0.134,0,27574.0566315022
10999932.3223388,316.462454308181,393.608906403524,197.606300508808,2.98,0.036,0.142,0,21.8671614668624
10998466.5814674,61.359778735188,693.575304587367,1618.48344927218,0.772,0.039,0.341,0,38.5319613659648
10999663.0,297.0,466.0,414.0,3.0,0.016,0.197,0,25.8888888888889
10984104.7755624,311.231499252476,3964.18602120332,12459.8069172311,0.916666666666667,0.016,0.197,0,220.232556733518
10786075.5021143,2555.35145131235,8569.14147505015,203640.004959209,1.04166666666667,0.069,0.229,0,476.063415280564
10962087.3081081,316.80082611498,3457.81261481971,34978.078450905,0.895833333333333,0.044,0.423,0,192.100700823317
5564502.65649181,227802.69398917,348624.00033975,4859910.64917931,2.67,0.072,0.134,0,19368.000018875
10996823.1152578,285.262325887263,2384.12582346044,1347.49659282163,2.418,0.025,0.478,0,132.451434636691
5353105.45500077,247934.329111193,382112.337810956,5017687.87807713,2.73,0.072,0.134,0,21228.4632117198
10981525.4652174,109.951592398945,2606.21407067883,16598.3691195819,0.5,0.016,0.197,0,144.789670593269
10876702.5317322,2054.41964604821,7988.66805385379,114094.380567893,0.916666666666667,0.0555555555555556,0.192307692307692,0,443.814891880766
10239189.6628499,30867.8770167599,81210.9423858387,649571.517747506,0.9375,0.083,0.204,0,4511.71902143548
10913386.7628008,2482.96232363309,17060.9192046434,67909.3556709601,1.44791666666667,0.044,0.423,0,947.828844702409
10401432.2694491,35043.6418158828,77704.3403846259,486659.748350391,1.1875,0.083,0.204,0,4316.90779914588
10995742.6428549,361.0875483424,2572.54717603885,2163.72242077073,1.64285714285714,0.016,0.197,0,142.919287557714
6418441.84093385,104787.241277274,317584.38542558,4160026.53236332,1.22,0.072,0.134,0,17643.5769680878
10333290.7572685,201616.444672599,215675.845188072,250256.952870839,2.5,0.072,0.134,0,11981.9913993373
2487966.50945154,225358.433854881,3035792.00759676,5251723.04909681,2.8,0.029,0.277,0,168655.111533153
10981619.4111067,140.024349837592,5152.52165609437,13928.0428872772,0.520833333333333,0.025,0.478,0,286.251203116354
10654565.7463972,31325.6313470938,127681.75972682,187266.862528838,2.78,0.029,0.277,0,7093.43109593442
10988365.0470537,4494.51630943084,4045.72667649965,3934.70996039061,3.2775,0.072,0.134,0,224.76259313887
10992708.9968406,167.339636207175,1860.01483602801,6103.64868726681,1.16666666666667,0.016,0.197,0,103.334157557112
10996609.6430105,5.86725926141053,102.373403346666,4122.1163269257,0.488888888888889,0.039,0.341,0,5.68741129703703
10992567.1920272,174.494006800547,1875.16443541001,6223.14953065453,1.20833333333333,0.016,0.197,0,104.175801967223
1562929.00761413,54747.875579416,186971.552789375,9196191.56401712,2.8,0.072,0.134,0,10387.3084882986
10974846.7508816,750.684536882636,2753.64317759087,22488.9214039031,1.15625,0.036,0.142,0,152.980176532826
10973482.6134562,312.45188322099,4463.91240026264,22581.0222602734,1.38541666666667,0.025,0.478,0,247.995133347925
8659186.05687472,311913.190645693,1172446.50956073,857294.242918888,3.64,0.029,0.277,0,65135.9171978181
10880578.4027426,5442.01236509623,49212.5175796439,65607.0673126294,0.92,0.029,0.277,0,2734.02875442466
10973852.0829302,5395.26526170079,10513.1440758726,11079.5077322453,2.138,0.0555555555555556,0.192307692307692,0,584.0635597707
10947432.7975799,916.436509098383,5948.064077755,46542.7018332662,1.58333333333333,0.044,0.423,0,330.448004319722
10124420.0947659,6124.56632418329,37151.8024483586,833143.536461353,0.5,0.069,0.229,0,2063.98902490881
10925779.2130858,187.078711503915,7018.1953790968,67855.5128234752,0.5,0.025,0.478,0,389.899743283155
10981518.6162063,4070.37547970949,7688.4966774157,7562.51163657187,2.236,0.0555555555555556,0.192307692307692,0,427.138704300872
10984848.5456687,346.447529532166,3945.96374943799,11699.043052359,1.04166666666667,0.016,0.197,0,219.22020830211
10930869.8684241,2717.68832816695,11184.0359265999,56068.4073211248,0.895833333333333,0.036,0.142,0,621.335329255549
10983858.4270749,211.116213873302,7322.41550342999,9448.04120777165,0.5,0.025,0.478,0,406.800861301666
1067338.21846022,41985.823751398,1314797.61854656,8576718.33924183,2.8,0.029,0.277,0,73044.3121414757
10858828.1353108,2539.99779524181,25144.2509191921,114327.615974837,0.958333333333333,0.044,0.423,0,1396.902828844
10967759.3445708,356.560352745526,6535.92601485233,26188.1690615479,0.5,0.044,0.423,0,363.10700082513
10636751.5758259,17431.1894219366,55381.8163181128,291275.418433938,1.11458333333333,0.0555555555555556,0.192307692307692,0,3076.76757322849
10528826.0400455,10223.5045151855,46798.6108126508,414991.844626552,0.6875,0.0555555555555556,0.192307692307692,0,2599.92282292504
10202860.2262197,19112.5976510454,77764.052947154,701103.123181946,0.791666666666667,0.069,0.229,0,4320.22516373078
1905758.36768928,184500.584678802,473688.087402661,8436892.96022928,3.15,0.072,0.134,0,26316.0048557034
10997924.1061037,66.3430938869455,607.217594098566,2242.33320836746,0.972,0.039,0.341,0,33.7343107832537
10981067.0994886,146.509779759032,4713.63360869279,14912.7571228849,0.604166666666667,0.025,0.478,0,261.868533816266
