Region,County,First Dose,Series Complete,Report as of
Capital Region,Albany,74,0,12/14/2020
Western New York,Allegany,0,0,12/14/2020
New York City,Bronx,2,0,12/14/2020
Southern Tier,Broome,0,0,12/14/2020
Western New York,Cattaraugus,0,0,12/14/2020
Central New York,Cayuga,0,0,12/14/2020
Western New York,Chautauqua,0,0,12/14/2020
Southern Tier,Chemung,0,0,12/14/2020
Southern Tier,Chenango,0,0,12/14/2020
North Country,Clinton,0,0,12/14/2020
Capital Region,Columbia,1,0,12/14/2020
Central New York,Cortland,0,0,12/14/2020
Southern Tier,Delaware,0,0,12/14/2020
Mid-Hudson,Dutchess,0,0,12/14/2020
Western New York,Erie,0,0,12/14/2020
North Country,Essex,0,0,12/14/2020
North Country,Franklin,0,0,12/14/2020
Mohawk Valley,Fulton,1,0,12/14/2020
Finger Lakes,Genesee,0,0,12/14/2020
Capital Region,Greene,1,0,12/14/2020
North Country,Hamilton,0,0,12/14/2020
Mohawk Valley,Herkimer,0,0,12/14/2020
North Country,Jefferson,0,0,12/14/2020
New York City,Kings,15,0,12/14/2020
North Country,Lewis,0,0,12/14/2020
Finger Lakes,Livingston,0,0,12/14/2020
Central New York,Madison,0,0,12/14/2020
Finger Lakes,Monroe,0,0,12/14/2020
Mohawk Valley,Montgomery,1,0,12/14/2020
Long Island,Nassau,1,0,12/14/2020
New York City,New York,24,0,12/14/2020
Western New York,Niagara,0,0,12/14/2020
Mohawk Valley,Oneida,0,0,12/14/2020
Central New York,Onondaga,2,0,12/14/2020
Finger Lakes,Ontario,0,0,12/14/2020
Mid-Hudson,Orange,1,0,12/14/2020
Finger Lakes,Orleans,0,0,12/14/2020
Central New York,Oswego,0,0,12/14/2020
Mohawk Valley,Otsego,0,0,12/14/2020
Mid-Hudson,Putnam,2,0,12/14/2020
New York City,Queens,3,0,12/14/2020
Capital Region,Rensselaer,10,0,12/14/2020
New York City,Richmond,4,0,12/14/2020
Mid-Hudson,Rockland,0,0,12/14/2020
Capital Region,Saratoga,19,0,12/14/2020
Capital Region,Schenectady,29,0,12/14/2020
Mohawk Valley,Schoharie,0,0,12/14/2020
Southern Tier,Schuyler,0,0,12/14/2020
Finger Lakes,Seneca,0,0,12/14/2020
North Country,St. Lawrence,0,0,12/14/2020
Southern Tier,Steuben,0,0,12/14/2020
Long Island,Suffolk,1,0,12/14/2020
Mid-Hudson,Sullivan,0,0,12/14/2020
Southern Tier,Tioga,0,0,12/14/2020
Southern Tier,Tompkins,0,0,12/14/2020
Mid-Hudson,Ulster,1,0,12/14/2020
Capital Region,Warren,0,0,12/14/2020
Capital Region,Washington,1,0,12/14/2020
Finger Lakes,Wayne,0,0,12/14/2020
Mid-Hudson,Westchester,8,0,12/14/2020
Finger Lakes,Wyoming,0,0,12/14/2020
Finger Lakes,Yates,0,0,12/14/2020
Capital Region,Albany,185,0,12/15/2020
Western New York,Allegany,0,0,12/15/2020
New York City,Bronx,49,1,12/15/2020
Southern Tier,Broome,1,0,12/15/2020
Western New York,Cattaraugus,0,0,12/15/2020
Central New York,Cayuga,0,0,12/15/2020
Western New York,Chautauqua,0,0,12/15/2020
Southern Tier,Chemung,1,0,12/15/2020
Southern Tier,Chenango,0,0,12/15/2020
North Country,Clinton,1,0,12/15/2020
Capital Region,Columbia,8,0,12/15/2020
Central New York,Cortland,0,0,12/15/2020
Southern Tier,Delaware,0,0,12/15/2020
Mid-Hudson,Dutchess,6,0,12/15/2020
Western New York,Erie,8,0,12/15/2020
North Country,Essex,1,0,12/15/2020
North Country,Franklin,0,0,12/15/2020
Mohawk Valley,Fulton,3,0,12/15/2020
Finger Lakes,Genesee,0,0,12/15/2020
Capital Region,Greene,5,0,12/15/2020
North Country,Hamilton,0,0,12/15/2020
Mohawk Valley,Herkimer,0,0,12/15/2020
North Country,Jefferson,0,0,12/15/2020
New York City,Kings,208,0,12/15/2020
North Country,Lewis,0,0,12/15/2020
Finger Lakes,Livingston,0,0,12/15/2020
Central New York,Madison,0,0,12/15/2020
Finger Lakes,Monroe,10,0,12/15/2020
Mohawk Valley,Montgomery,3,0,12/15/2020
Long Island,Nassau,98,0,12/15/2020
New York City,New York,475,1,12/15/2020
Western New York,Niagara,1,0,12/15/2020
Mohawk Valley,Oneida,0,0,12/15/2020
Central New York,Onondaga,12,0,12/15/2020
Finger Lakes,Ontario,0,0,12/15/2020
Mid-Hudson,Orange,9,0,12/15/2020
Finger Lakes,Orleans,0,0,12/15/2020
Central New York,Oswego,0,0,12/15/2020
Mohawk Valley,Otsego,0,0,12/15/2020
Mid-Hudson,Putnam,3,0,12/15/2020
New York City,Queens,148,1,12/15/2020
Capital Region,Rensselaer,40,0,12/15/2020
New York City,Richmond,57,0,12/15/2020
Mid-Hudson,Rockland,24,0,12/15/2020
