algorithm,dataset,rmse_test,log_mse_test,r2_test,model_size,training time (s)
*AFP,1027_ESL,0.6041929098739696,0.3111903784244027,0.8309296672888038,20.5,1210.966865181923
*AFP,1028_SWD,0.6618330549062514,0.3632692484384418,0.31451651823485344,47.0,3017.658321261406
*AFP,1029_LEV,0.658121244998906,0.3598563789863857,0.5219042193505663,23.5,2622.2061932086945
*AFP,1030_ERA,1.5799276033766447,1.251668435973549,0.35871567187975906,36.5,3007.024176597595
*AFP,1089_USCrime,23.439774930082557,6.310687162146642,0.6396714078497243,25.0,590.9397264719009
*AFP,1096_FacultySalaries,2.07415633929641,1.6681075930387135,0.7492755138764731,12.0,584.1098144054413
*AFP,1191_BNG_pbc,923.2758881020259,13.655857360156414,0.29991429207259157,43.5,31351.940474390984
*AFP,1193_BNG_lowbwt,479.88339061796813,12.347090618729116,0.5629429165170033,45.0,34142.5977332592
*AFP,1196_BNG_pharynx,317.0095365901869,11.517873665300698,0.42285863366626725,44.5,29258.49059522152
*AFP,1199_BNG_echoMonths,12.020938346598268,4.980196421337556,0.4304775006962064,23.0,31034.707318544388
*AFP,1201_BNG_breastTumor,9.915102786414014,4.598238852351399,0.07700186757870142,57.5,41622.4602766037
*AFP,1203_BNG_pwLinear,3.1411928978070733,2.3857392156135373,0.5029744753862173,44.5,34696.82211089134
*AFP,1595_poker,0.7460578301924697,0.4425054241219876,0.06799405116089458,36.0,37427.2305867672
*AFP,192_vineyard,3.103786184954562,2.364008330600434,0.3640613405379297,26.5,637.9880217313766
*AFP,195_auto_price,2632.40119547538,15.751303565751423,0.7495141836035768,4.0,665.405751824379
*AFP,197_cpu_act,4.349304569977109,2.9915460355952863,0.9441477171375598,30.0,17095.683215379715
*AFP,201_pol,25.145333546581067,6.450924977852538,0.6397330597480861,57.5,41943.28837394714
*AFP,207_autoPrice,2452.5840861096763,15.609795119700914,0.7829299990969683,12.5,692.049887418747
*AFP,210_cloud,0.38952205110226584,0.14126292689487127,0.8716268482861057,13.5,642.397343993187
*AFP,215_2dplanes,2.1520953376496474,1.7283783833075472,0.7606187251718937,40.5,21502.48864889145
*AFP,218_house_8L,36005.2716848826,20.982841285588922,0.5473944293562825,41.0,27889.71729707718
*AFP,225_puma8NH,3.4277616378980316,2.5454959648043256,0.6208768461804093,34.0,14090.239510059357
*AFP,227_cpu_small,4.749598229371629,3.1594944718418634,0.9296246805016032,34.5,16034.284228920937
*AFP,228_elusage,11.427705563424619,4.879709680198191,0.6621986077593104,22.5,623.0893927812576
*AFP,229_pwLinear,2.8662943651176347,2.2209024082726954,0.6438399610310788,47.5,1083.867358803749
*AFP,230_machine_cpu,64.97504104273378,8.348243264607932,0.8315757299517191,25.5,844.6474680900574
*AFP,294_satellite_image,1.1119792209408577,0.8049111547573622,0.7453063221729683,47.0,16071.423152923584
*AFP,344_mv,2.4653464131816256,1.9569819070249668,0.9431043885702681,34.0,24683.240304350853
*AFP,4544_GeographicalOriginalofMusic,0.6582888314084591,0.360010305321662,0.5551416723956957,16.5,2748.128425717354
*AFP,485_analcatdata_vehicle,209.4222809747992,10.688728194091732,0.3746599370530389,35.5,722.9651532173157
*AFP,503_wind,3.734200947525166,2.7043270599054416,0.6782120641665355,15.0,8496.695196270943
*AFP,505_tecator,1.759770568515088,1.4102043391931918,0.9850615606313606,25.0,1171.1059713363647
*AFP,519_vinnie,1.6147580377974577,1.2829993554467254,0.7324053196742728,14.0,1153.2532193660736
*AFP,522_pm10,0.7891440343468272,0.48412119760640826,0.20890582849023448,47.5,2092.45066344738
*AFP,523_analcatdata_neavote,0.9890679283265734,0.6822153284286568,0.9359415612638955,11.5,839.7651166915894
*AFP,527_analcatdata_election2000,13003.074349056287,18.945882199661657,0.9610896854730114,6.5,472.2454842329025
*AFP,529_pollen,1.4643520204383065,1.1455998258310636,0.7799129580219484,23.0,8589.851172447205
*AFP,537_houses,82166.97120388807,22.633017380398627,0.4898480604418706,23.0,20138.039971470833
*AFP,542_pollution,51.556995725263796,7.885751952105217,0.17381517699810517,28.5,671.5983521938324
*AFP,547_no2,0.5788655118759074,0.28899517059046687,0.41770667527463445,31.0,1638.5210676193237
*AFP,556_analcatdata_apnea2,976.311037435106,13.767563492195977,0.9071240985048845,41.5,2310.441895842552
*AFP,557_analcatdata_apnea1,1155.2281165301288,14.104106963202717,0.8753318823706111,54.0,2416.136426091194
*AFP,560_bodyfat,0.4776412499962532,0.20550177726968058,0.9968498044396251,15.0,901.0526082515717
*AFP,561_cpu,36.63319419709547,7.2026544333448275,0.9369494311574312,31.0,776.7121344804764
*AFP,562_cpu_small,4.68747718388822,3.134295338844543,0.9361404433427275,21.5,18227.2362306118
*AFP,564_fried,2.3370115647259406,1.8658805329343708,0.7811411062978966,45.0,24145.052250742912
*AFP,573_cpu_act,4.236792337014227,2.941825530608233,0.940993806298059,25.0,17515.817617177963
*AFP,574_house_16H,43471.11823125407,21.359704096246013,0.3240681633297082,56.5,35731.19686973095
*AFP,579_fri_c0_250_5,0.45634141878435364,0.18917095476851534,0.7848905380763715,35.5,1026.4337611198425
*AFP,581_fri_c3_500_25,0.7166261760785572,0.41445991740850563,0.5005985559898803,43.5,1392.6895399093628
