,algorithm,dataset,random_state,training time (s),model_size,mse_test,mae_test,r2_test,training time (hr),r2_zero_test,friedman_dataset,algorithm_count,rmse_test,log_mse_test,name,nsamples,nfeatures,npoints,Group
0,*AFP,1027_ESL,13879.5,1210.966865181923,20.5,0.36504907234197465,0.4426119381361328,0.8309296672888038,0.33637968477275637,0.8309296672888038,False,21.0,0.6041929098739696,0.3111903784244027,1027_ESL,488,5,2440,black-box
1,*AFP_FE,1027_ESL,13879.5,1154.97587621212,19.5,0.2891634328478958,0.4126249082195328,0.855070247650894,0.32082663228114444,0.855070247650894,False,21.0,0.5377391866396718,0.2539935063371217,1027_ESL,488,5,2440,black-box
2,*AIFeynman,1027_ESL,13879.5,69643.0692486763,11.5,0.7459540079619886,0.5824118157156568,0.6455802672701156,19.345297013521193,0.6455802672701156,False,21.0,0.8636862902477893,0.5573011156970389,1027_ESL,488,5,2440,black-box
3,AdaBoost,1027_ESL,13879.5,25.61097228527069,4945.5,0.3746905047917347,0.45912719176148464,0.8179227503848081,0.007114158968130747,0.8179227503848081,False,21.0,0.6121196817549119,0.3182286183583656,1027_ESL,488,5,2440,black-box
4,*BSR,1027_ESL,13879.5,7200.013768196106,26.5,0.3557590094645394,0.44273686726709616,0.8363750660583806,2.0000038244989184,0.8363750660583806,False,21.0,0.5964553708908483,0.30436145209002236,1027_ESL,488,5,2440,black-box
5,*DSR,1027_ESL,13879.5,30961.94549393654,9.0,0.3749198385731633,0.48456430615224944,0.8150459898050317,8.600540414982373,0.8150459898050317,False,21.0,0.6123069806666941,0.3183954301995515,1027_ESL,488,5,2440,black-box
6,*EPLEX,1027_ESL,13879.5,3813.073056936264,44.0,0.2925441049618267,0.4150029778628783,0.8568468436621852,1.0591869602600732,0.8568468436621852,False,21.0,0.5408734648342686,0.25661245057981286,1027_ESL,488,5,2440,black-box
7,*FEAT,1027_ESL,13879.5,3203.1722960472107,40.0,0.27532486570578346,0.4071823052024648,0.8654816270788117,0.8897700822353363,0.8654816270788117,False,21.0,0.5247140799576313,0.24320094278722748,1027_ESL,488,5,2440,black-box
8,*FFX,1027_ESL,13879.5,44.828194975852966,626.0,0.6122607237774473,0.46779861735527145,0.7074490207818124,0.012452276382181379,0.7074490207818124,False,21.0,0.7824709092211974,0.47763737032207787,1027_ESL,488,5,2440,black-box
9,*GP-GOMEA,1027_ESL,13879.5,6123.33493244648,28.0,0.286359207999618,0.40556688007751296,0.8631716136077054,1.7009263701240223,0.8631716136077054,False,21.0,0.5351254133374885,0.25181590874048393,1027_ESL,488,5,2440,black-box
