,name,nsamples,nfeatures,npoints,Group
0,1199_BNG_echoMonths,17496,10,174960,black-box
1,Hill_Valley_with_noise,1212,101,122412,black-box
2,1595_poker,1025010,11,11275110,black-box
3,feynman_test_5,100000,5,500000,feynman
4,penguins,344,8,2752,black-box
5,feynman_I_14_3,100000,4,400000,feynman
6,592_fri_c4_1000_25,1000,26,26000,black-box
7,page_blocks,5473,11,60203,black-box
8,strogatz_lv1,400,3,1200,strogatz
9,561_cpu,209,8,1672,black-box
10,strogatz_shearflow1,400,3,1200,strogatz
11,phoneme,5404,6,32424,black-box
12,feynman_I_13_12,100000,6,600000,feynman
13,buggyCrx,690,16,11040,black-box
14,analcatdata_asbestos,83,4,332,black-box
15,feynman_I_29_16,100000,5,500000,feynman
16,connect_4,67557,43,2904951,black-box
17,593_fri_c1_1000_10,1000,11,11000,black-box
18,feynman_I_11_19,100000,7,700000,feynman
19,712_chscase_geyser1,222,3,666,black-box
20,feynman_II_4_23,100000,4,400000,feynman
21,strogatz_predprey1,400,3,1200,strogatz
22,633_fri_c0_500_25,500,26,13000,black-box
23,strogatz_bacres2,400,3,1200,strogatz
24,feynman_I_16_6,100000,4,400000,feynman
25,biomed,209,9,1881,black-box
26,feynman_I_6_2a,100000,2,200000,feynman
27,strogatz_barmag2,400,3,1200,strogatz
28,vote,435,17,7395,black-box
29,228_elusage,55,3,165,black-box
30,analcatdata_boxing1,120,4,480,black-box
31,621_fri_c0_100_10,100,11,1100,black-box
32,feynman_II_15_4,100000,4,400000,feynman
33,344_mv,40768,11,448448,black-box
34,620_fri_c1_1000_25,1000,26,26000,black-box
35,splice,3188,61,194468,black-box
36,prnn_synth,250,3,750,black-box
37,collins,485,24,11640,black-box
38,mfeat_karhunen,2000,65,130000,black-box
39,feynman_II_37_1,100000,4,400000,feynman
40,yeast,1479,9,13311,black-box
41,coil2000,9822,86,844692,black-box
42,movement_libras,360,91,32760,black-box
43,feynman_III_19_51,100000,6,600000,feynman
44,feynman_test_8,100000,5,500000,feynman
45,feynman_III_21_20,100000,5,500000,feynman
46,641_fri_c1_500_10,500,11,5500,black-box
47,589_fri_c2_1000_25,1000,26,26000,black-box
48,1028_SWD,1000,11,11000,black-box
