algorithm,dataset,target_noise,data_group,symbolic_solution_rate_(%),accuracy_solution,rmse_test,log_mse_test
AFP,feynman_III_10_19,0.0,Feynman,0.0,0.0,0.7630098433252729,0.45880618433235476
AFP,feynman_III_10_19,0.001,Feynman,0.0,0.0,0.7453409129903455,0.4418183014028785
AFP,feynman_III_10_19,0.01,Feynman,0.0,0.0,1.218524749036512,0.9101932052913793
AFP,feynman_III_12_43,0.0,Feynman,50.0,1.0,0.0004592669889897843,2.1092614495405618e-07
AFP,feynman_III_12_43,0.001,Feynman,62.5,1.0,0.0029069438650932288,8.450286930970256e-06
AFP,feynman_III_12_43,0.01,Feynman,12.5,0.0,0.04404800681309127,0.0019383470950976463
AFP,feynman_III_13_18,0.0,Feynman,0.0,0.0,72.73731951510314,8.57389816973781
AFP,feynman_III_13_18,0.001,Feynman,0.0,0.0,47.73016631969813,7.731566083943693
AFP,feynman_III_13_18,0.01,Feynman,0.0,0.0,49.06639943083406,7.786764222864315
AFP,feynman_III_14_14,0.0,Feynman,0.0,0.0,1.115206302622345,0.8081196468900617
AFP,feynman_III_14_14,0.001,Feynman,0.0,0.0,1.041226924771952,0.7343627818645126
AFP,feynman_III_14_14,0.01,Feynman,0.0,0.0,1.1125225415187137,0.8054514151300373
AFP,feynman_III_15_12,0.0,Feynman,12.5,0.0,0.60122251454888,0.3085639054316069
AFP,feynman_III_15_12,0.001,Feynman,0.0,0.0,1.6228906106296082,1.2902717594725572
AFP,feynman_III_15_12,0.01,Feynman,0.0,0.0,2.5731125178951784,2.0308955266081257
AFP,feynman_III_15_14,0.0,Feynman,37.5,0.0,0.0006740213199235447,4.543046364091375e-07
AFP,feynman_III_15_14,0.001,Feynman,25.0,0.5,0.0006139325273613422,3.7691307721609435e-07
AFP,feynman_III_15_14,0.01,Feynman,0.0,0.0,0.0008691872046960833,7.554861113954361e-07
AFP,feynman_III_15_27,0.0,Feynman,62.5,1.0,0.0008652154667585179,7.485975237686581e-07
AFP,feynman_III_15_27,0.001,Feynman,62.5,1.0,0.009589515919589448,9.195458761942859e-05
AFP,feynman_III_15_27,0.01,Feynman,37.5,0.0,0.09731061332219505,0.00942480215857805
AFP,feynman_III_17_37,0.0,Feynman,62.5,1.0,0.0008095043477851083,6.552970743911253e-07
AFP,feynman_III_17_37,0.001,Feynman,75.0,1.0,0.0022208007675417582,4.931943887059314e-06
AFP,feynman_III_17_37,0.01,Feynman,25.0,1.0,0.11110829158281353,0.012269473678629702
AFP,feynman_III_19_51,0.0,Feynman,0.0,0.0,0.33802251974610953,0.10818981089463467
AFP,feynman_III_19_51,0.001,Feynman,0.0,0.0,0.3285715411041511,0.1025198165511458
AFP,feynman_III_19_51,0.01,Feynman,0.0,0.0,0.4310746956336019,0.17043906647878088
AFP,feynman_III_21_20,0.0,Feynman,50.0,1.0,0.0005549574182074646,3.0797768855532487e-07
AFP,feynman_III_21_20,0.001,Feynman,12.5,1.0,0.03813645853849005,0.0014533328698408596
AFP,feynman_III_21_20,0.01,Feynman,25.0,0.0,0.44704896603979344,0.1821988642985785
AFP,feynman_III_4_32,0.0,Feynman,0.0,1.0,0.024480966961254992,0.0005991382242017629
AFP,feynman_III_4_32,0.001,Feynman,0.0,1.0,0.149570147367906,0.02212466357974021
AFP,feynman_III_4_32,0.01,Feynman,0.0,0.0,0.6809417703771603,0.3809549702086011
AFP,feynman_III_4_33,0.0,Feynman,0.0,1.0,0.10192026095132606,0.010334157768713359
AFP,feynman_III_4_33,0.001,Feynman,0.0,1.0,0.0934530214344652,0.00869555108999979
AFP,feynman_III_4_33,0.01,Feynman,0.0,0.0,0.37597818644313435,0.13222018045738357
AFP,feynman_III_7_38,0.0,Feynman,25.0,1.0,0.6020062769356744,0.3092563334997313
AFP,feynman_III_7_38,0.001,Feynman,50.0,1.0,0.13288883327688192,0.017505325822311457
AFP,feynman_III_7_38,0.01,Feynman,12.5,0.0,1.6708330541248493,1.3328100088424648
AFP,feynman_III_8_54,0.0,Feynman,0.0,0.0,0.301696337303248,0.08711366170538225
AFP,feynman_III_8_54,0.001,Feynman,0.0,0.0,0.2821799506127524,0.07661424446079311
AFP,feynman_III_8_54,0.01,Feynman,0.0,0.0,0.3004962800121988,0.08645106648775343
AFP,feynman_III_9_52,0.0,Feynman,0.0,0.0,6.891843517680266,3.8815123960490117
AFP,feynman_III_9_52,0.001,Feynman,0.0,0.0,7.584937394909724,4.069561231630599
AFP,feynman_III_9_52,0.01,Feynman,0.0,0.0,4.534638777691667,3.070976510535276
AFP,feynman_II_10_9,0.0,Feynman,0.0,1.0,0.005478038489162357,3.000845543062502e-05
AFP,feynman_II_10_9,0.001,Feynman,12.5,1.0,0.00042831537917074956,1.8345404711235252e-07
AFP,feynman_II_10_9,0.01,Feynman,12.5,0.0,0.01861500370142829,0.0003464583391821044
AFP,feynman_II_11_20,0.0,Feynman,12.5,0.0,0.5135955911187723,0.23410757115492103
AFP,feynman_II_11_20,0.001,Feynman,0.0,0.5,0.3010065654781982,0.0867325445420415
AFP,feynman_II_11_20,0.01,Feynman,0.0,0.0,1.0852444027943458,0.7782947196724271
AFP,feynman_II_11_27,0.0,Feynman,0.0,1.0,0.0081373627149634,6.621447972789569e-05
AFP,feynman_II_11_27,0.001,Feynman,0.0,0.5,0.020266077470960375,0.00041062957619351854
AFP,feynman_II_11_27,0.01,Feynman,0.0,0.0,0.04482552349454367,0.0020073115580275937
AFP,feynman_II_11_28,0.0,Feynman,0.0,1.0,0.001682516332103482,2.830857201011972e-06
AFP,feynman_II_11_28,0.001,Feynman,0.0,1.0,0.004258954148236947,1.8138525932708068e-05
AFP,feynman_II_11_28,0.01,Feynman,0.0,0.0,0.04101241773554885,0.0016806053998010449
AFP,feynman_II_11_3,0.0,Feynman,0.0,0.0,0.015283753967583403,0.00023356585671320356
AFP,feynman_II_11_3,0.001,Feynman,0.0,0.0,0.007725548440332145,5.968231767898472e-05
AFP,feynman_II_11_3,0.01,Feynman,0.0,0.0,0.022454623320441822,0.0005040830372581019
AFP,feynman_II_13_17,0.0,Feynman,0.0,0.0,0.0009355929289899802,8.753337456312768e-07
AFP,feynman_II_13_17,0.001,Feynman,12.5,0.5,0.001351285158624633,1.8259699128543918e-06
AFP,feynman_II_13_17,0.01,Feynman,25.0,0.5,0.0015173271533897711,2.3022790401563845e-06
AFP,feynman_II_13_23,0.0,Feynman,0.0,1.0,0.012795974977528195,0.00016372357219002876
AFP,feynman_II_13_23,0.001,Feynman,0.0,1.0,0.019533126944344406,0.0003814702791841775
AFP,feynman_II_13_23,0.01,Feynman,0.0,0.0,0.1610893402702597,0.025618793843491094
AFP,feynman_II_13_34,0.0,Feynman,0.0,0.5,0.06286280054807561,0.003943944110609424
AFP,feynman_II_13_34,0.001,Feynman,0.0,0.5,0.0541961164368627,0.0029329138371522144
AFP,feynman_II_13_34,0.01,Feynman,0.0,0.0,0.23084221952463516,0.051916823752013376
AFP,feynman_II_15_4,0.0,Feynman,87.5,1.0,0.0002938753100177598,8.636269415272334e-08
AFP,feynman_II_15_4,0.001,Feynman,37.5,1.0,0.01671092347532444,0.0002792159789883566
AFP,feynman_II_15_4,0.01,Feynman,0.0,0.0,0.19816775384142274,0.038518984944386915
AFP,feynman_II_15_5,0.0,Feynman,62.5,1.0,0.0006107041870279419,3.7295953453970227e-07
AFP,feynman_II_15_5,0.001,Feynman,50.0,1.0,0.0071734240105548654,5.1456688117126346e-05
AFP,feynman_II_15_5,0.01,Feynman,25.0,0.5,0.18933126887397694,0.03521880211457471
AFP,feynman_II_21_32,0.0,Feynman,0.0,0.0,0.006141353905466398,3.771551655321449e-05
AFP,feynman_II_21_32,0.001,Feynman,0.0,0.0,0.007820045172498624,6.115123672502216e-05
AFP,feynman_II_21_32,0.01,Feynman,0.0,0.0,0.009206163560463807,8.47498561314049e-05
AFP,feynman_II_24_17,0.0,Feynman,0.0,1.0,0.018213724354713013,0.00033168474140339474
AFP,feynman_II_24_17,0.001,Feynman,0.0,0.5,0.038442546073119685,0.0014767384334508878
AFP,feynman_II_24_17,0.01,Feynman,0.0,0.0,0.12809693952040124,0.016275655931181812
AFP,feynman_II_27_16,0.0,Feynman,87.5,1.0,4.156540714859069e-14,0.0
AFP,feynman_II_27_16,0.001,Feynman,62.5,1.0,0.1266332409240713,0.015908759658202855
AFP,feynman_II_27_16,0.01,Feynman,25.0,1.0,2.207624239582056,1.7704685481142028
AFP,feynman_II_27_18,0.0,Feynman,87.5,1.0,1.1419192192382272e-14,0.0
AFP,feynman_II_27_18,0.001,Feynman,37.5,1.0,0.04342375370101649,0.001883846831262446
AFP,feynman_II_27_18,0.01,Feynman,12.5,0.5,0.9264392814735816,0.6196565713216702
AFP,feynman_II_2_42,0.0,Feynman,12.5,0.0,1.5556343453153059,1.2296400295318572
AFP,feynman_II_2_42,0.001,Feynman,50.0,1.0,0.0016176423855625375,2.616763463891304e-06
AFP,feynman_II_2_42,0.01,Feynman,12.5,0.0,1.5498041473708526,1.224332010587978
AFP,feynman_II_34_11,0.0,Feynman,37.5,1.0,0.0005971375101440741,3.565731425006416e-07
AFP,feynman_II_34_11,0.001,Feynman,12.5,0.0,0.3588918588379138,0.12115810378105395
AFP,feynman_II_34_11,0.01,Feynman,0.0,0.0,0.29254526713612,0.0821169242201983
AFP,feynman_II_34_2,0.0,Feynman,37.5,1.0,0.0002730642134870592,7.456406192051115e-08
AFP,feynman_II_34_2,0.001,Feynman,37.5,1.0,0.031620371438754194,0.0009993483749547924
AFP,feynman_II_34_2,0.01,Feynman,12.5,0.0,0.41681757228059624,0.16019258092364433
AFP,feynman_II_34_29a,0.0,Feynman,62.5,1.0,0.0005867288316913266,3.4425066267440773e-07
AFP,feynman_II_34_29a,0.001,Feynman,50.0,1.0,0.0007848847085485916,6.160438160528059e-07
AFP,feynman_II_34_29a,0.01,Feynman,12.5,0.0,0.014800669227533281,0.00021903581948617062
AFP,feynman_II_34_29b,0.0,Feynman,0.0,0.0,28.92066887931563,6.730307930025879
AFP,feynman_II_34_29b,0.001,Feynman,12.5,0.0,9.199057489030029,4.449949952401002
AFP,feynman_II_34_29b,0.01,Feynman,0.0,0.0,26.269064239374107,6.538232056869151
AFP,feynman_II_34_2a,0.0,Feynman,62.5,1.0,0.00019169401482018445,3.674659464700073e-08
AFP,feynman_II_34_2a,0.001,Feynman,25.0,1.0,0.002276676613332601,5.183242968614811e-06
AFP,feynman_II_34_2a,0.01,Feynman,37.5,0.0,0.017390474254957655,0.0003023828725031085
AFP,feynman_II_35_18,0.0,Feynman,0.0,0.0,0.07145839237042638,0.00509330889276171
AFP,feynman_II_35_18,0.001,Feynman,0.0,0.0,0.08336055240388125,0.0069249487956602835
AFP,feynman_II_35_18,0.01,Feynman,0.0,0.0,0.09476453845245404,0.008940234489545638
AFP,feynman_II_35_21,0.0,Feynman,0.0,0.0,0.837326122314221,0.531283939057553
AFP,feynman_II_35_21,0.001,Feynman,0.0,0.0,1.0344075045629384,0.7275480688694639
AFP,feynman_II_35_21,0.01,Feynman,0.0,0.0,1.0993372267666401,0.7923327224185598
AFP,feynman_II_36_38,0.0,Feynman,0.0,0.0,0.32013994032900384,0.0975708783113176
AFP,feynman_II_36_38,0.001,Feynman,0.0,0.0,0.2826377898560415,0.07685373931903852
AFP,feynman_II_36_38,0.01,Feynman,0.0,0.0,0.3540988943968266,0.11812611192170634
AFP,feynman_II_37_1,0.0,Feynman,75.0,1.0,1.0178076909336262e-14,0.0
AFP,feynman_II_37_1,0.001,Feynman,37.5,1.0,0.06690042980552882,0.004465681493310866
AFP,feynman_II_37_1,0.01,Feynman,12.5,0.0,1.0782909341374836,0.7713626839010386
AFP,feynman_II_38_14,0.0,Feynman,0.0,1.0,0.001814386656528818,3.2919935208309213e-06
AFP,feynman_II_38_14,0.001,Feynman,0.0,1.0,0.003918984497087613,1.5358321548786798e-05
AFP,feynman_II_38_14,0.01,Feynman,0.0,0.0,0.017411563348665046,0.0003031165937678143
AFP,feynman_II_38_3,0.0,Feynman,25.0,1.0,6.30511747879161e-10,0.0
AFP,feynman_II_38_3,0.001,Feynman,62.5,1.0,4.0849335337743185e-15,0.0
AFP,feynman_II_38_3,0.01,Feynman,0.0,0.0,0.38653062956262285,0.13924522419503035
AFP,feynman_II_3_24,0.0,Feynman,37.5,1.0,0.0005047777611400209,2.5480055572250315e-07
AFP,feynman_II_3_24,0.001,Feynman,50.0,1.0,0.00021556186983423756,4.646691856579535e-08
AFP,feynman_II_3_24,0.01,Feynman,25.0,1.0,0.0013659857786895726,1.8659154068596823e-06
AFP,feynman_II_4_23,0.0,Feynman,25.0,1.0,0.0007111411996534208,5.057216778885727e-07
AFP,feynman_II_4_23,0.001,Feynman,25.0,1.0,0.00014566560578188332,2.1218468534686566e-08
AFP,feynman_II_4_23,0.01,Feynman,37.5,0.0,0.0015599451875343232,2.433426027307663e-06
AFP,feynman_II_6_11,0.0,Feynman,12.5,0.0,0.0039304934424175654,1.5448659369813397e-05
AFP,feynman_II_6_11,0.001,Feynman,0.0,0.0,0.0019994528833347023,3.9978038414615634e-06
AFP,feynman_II_6_11,0.01,Feynman,0.0,0.0,0.002416221430588068,5.8381089597315045e-06
AFP,feynman_II_6_15a,0.0,Feynman,0.0,0.0,0.06687817201357858,0.004462717140070344
AFP,feynman_II_6_15a,0.001,Feynman,0.0,0.0,0.07047873278344848,0.004954955681381182
AFP,feynman_II_6_15a,0.01,Feynman,0.0,0.0,0.0705655471729812,0.004967139758469264
AFP,feynman_II_6_15b,0.0,Feynman,0.0,0.0,0.004649712100296695,2.1619588910729502e-05
AFP,feynman_II_6_15b,0.001,Feynman,0.0,0.0,0.005561487276287113,3.092966239725516e-05
AFP,feynman_II_6_15b,0.01,Feynman,0.0,0.0,0.006478117932377398,4.196513139728258e-05
AFP,feynman_II_8_31,0.0,Feynman,75.0,1.0,0.0007583539558773694,5.751005570071847e-07
AFP,feynman_II_8_31,0.001,Feynman,87.5,1.0,0.021709551131079564,0.00047119358117933563
AFP,feynman_II_8_31,0.01,Feynman,12.5,0.5,0.5131487778935533,0.2337444968112847
AFP,feynman_II_8_7,0.0,Feynman,12.5,1.0,0.0008674727239515744,7.525086435921467e-07
AFP,feynman_II_8_7,0.001,Feynman,12.5,0.0,0.0035063303044176757,1.229427662869478e-05
AFP,feynman_II_8_7,0.01,Feynman,12.5,0.0,0.005581385237921045,3.115137596482196e-05
AFP,feynman_I_10_7,0.0,Feynman,0.0,1.0,0.0135004101068707,0.00018224446552227828
AFP,feynman_I_10_7,0.001,Feynman,0.0,1.0,0.021771550095331788,0.00047388809085323444
AFP,feynman_I_10_7,0.01,Feynman,0.0,0.0,0.1328712735765251,0.017500740124630487
