algorithm,r2_test,model_size,training time (s),g1,g2,g3
*AFP,0.6921610473234316,36.75,1792.5184407830238,1,3,3
*AFP_FE,0.7057882073457993,38.5,1836.597915649414,1,3,3
*AIFeynman,-0.4371315955403116,742.0,29243.511543035507,4,-1,2
*BSR,0.10972249040448656,16.0,7200.007732868194,2,4,-1
*DSR,0.5896790573481165,8.5,32660.359801054,0,4,-1
*EPLEX,0.8675016943351014,58.0,4303.517795264721,1,1,3
*FEAT,0.8949734411329614,75.25,6250.729626893997,1,1,3
*FFX,0.6883241652832299,1469.75,144.32252329587936,3,3,1
*GP-GOMEA,0.8158117427904616,25.5,6669.530170202255,0,2,4
*ITEA,0.7131922185735916,111.25,3589.0923370718956,2,3,2
*MRGP,0.5876104347974559,9219.5,200748.5651602745,4,-1,2
*Operon,0.9336716232625342,50.0,635.8010771274567,0,0,2
*SBP-GP,0.9083213804371386,720.75,170960.98274427652,1,1,3
*gplearn,0.5819634945656065,15.0,23195.654639720917,1,4,-1
AdaBoost,0.7572537049433617,14590.0,47.57727074623108,3,1,0
KernelRidge,0.6859912609348985,375.0,1.1563287377357483,3,0,0
LGBM,0.8213651539939107,5167.5,20.992564022541046,2,0,0
Linear,0.3804255442607481,10.0,0.19809108972549438,1,0,0
MLP,0.5758791970538125,2402.0,12.528129398822784,4,1,0
RandomForest,0.7484165288382401,129511.0,83.63586246967316,4,2,0
XGB,0.8539414531821224,9641.0,186.91869741678238,2,0,1
