dataset,algorithm,trial,best_params,train_mse,train_mae,test_mse,test_mae,runtime
1027_ESL,adaboost,0.0,"[('learning_rate', 0.1), ('n_estimators', 1000)]",0.258718171491,0.408285899915,0.392492443184,0.470931253143,16.010457515716553
1027_ESL,adaboost,1.0,"[('learning_rate', 0.1), ('n_estimators', 100)]",0.268454104918,0.409285256192,0.379456105603,0.451593659712,17.995113611221313
1027_ESL,adaboost,2.0,"[('learning_rate', 0.01), ('n_estimators', 1000)]",0.251952829981,0.383733470967,0.465859874752,0.5185499006600001,18.23197078704834
1027_ESL,adaboost,3.0,"[('learning_rate', 0.1), ('n_estimators', 1000)]",0.250562076831,0.422532231006,0.459417689335,0.501842536189,16.656814098358154
1027_ESL,adaboost,4.0,"[('learning_rate', 0.1), ('n_estimators', 1000)]",0.264770964694,0.409835547019,0.399912436716,0.476118713709,18.78213620185852
1027_ESL,adaboost,5.0,"[('learning_rate', 1.0), ('n_estimators', 1000)]",0.268679855018,0.4203856528630001,0.368294952166,0.4542020073300001,16.174139499664307
1027_ESL,adaboost,6.0,"[('learning_rate', 0.1), ('n_estimators', 1000)]",0.254816569775,0.402278088684,0.433063736854,0.47819382119,16.43972373008728
1027_ESL,adaboost,7.0,"[('learning_rate', 1.0), ('n_estimators', 1000)]",0.28005896651,0.444955308949,0.35569082924,0.45903557294,16.066477060317993
1027_ESL,adaboost,8.0,"[('learning_rate', 1.0), ('n_estimators', 1000)]",0.25963291538000005,0.413975323598,0.422002455179,0.482786110681,17.921245098114017
1027_ESL,adaboost,9.0,"[('learning_rate', 1.0), ('n_estimators', 1000)]",0.274312090783,0.427252027771,0.323576449709,0.445329084452,17.525830745697018
1027_ESL,afp,0.0,"[('g', 100), ('max_len', 64), ('popsize', 1000), ('rt_cross', 0.8), ('rt_mut', 0.2)]",0.333990578435,0.436285921016,0.29320010546799996,0.414054608359,656.1996281147002
1027_ESL,afp,1.0,"[('g', 100), ('max_len', 64), ('popsize', 1000), ('rt_cross', 0.8), ('rt_mut', 0.2)]",0.265462314406,0.404759329977,0.26838882914,0.38840461674800003,758.6806855201721
1027_ESL,afp,2.0,"[('g', 100), ('max_len', 64), ('popsize', 1000), ('rt_cross', 0.8), ('rt_mut', 0.2)]",0.27202331634300003,0.40925743806000003,0.215610108007,0.36935660710900003,778.2158391475677
1027_ESL,afp,3.0,"[('g', 100), ('max_len', 64), ('popsize', 1000), ('rt_cross', 0.8), ('rt_mut', 0.2)]",0.267118787382,0.405334514479,0.266456339941,0.39027144774800004,739.6251482963562
1027_ESL,afp,4.0,"[('g', 100), ('max_len', 64), ('popsize', 1000), ('rt_cross', 0.8), ('rt_mut', 0.2)]",0.25302701268800004,0.39128854442199995,0.30705510069499997,0.43375759922300006,761.5913548469542
